Predictions
FROM\TO,I = K,I = #K,I = #I & I = #J & I = #I -I,I = 0,I = 1,I = #I + 1,I = #I - 1,I = -1,I >= #I,I <= #I,I <= #K,I = #I - #K,I = #I - #K + 1,I = #I - #K + #I,I = (#I + #K) - #I 
I = K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I = #K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I = #I & I = #J & I = #I -I,0,11.0,3,1,1,0,0,0,0,0,2,0,0,0,0
I = 0,2.5,3.5,1,1,0,0,0,0,0,0,0,0,0,0,0
I = 1,0,0,0.5625,0,0.53125,1,0.5,1.125,0,0,0,0,0,0,0
I = #I + 1,0,1,0.125,0,0.5625,0,1,0.25,0,0,0,0,0,0,0
I = #I - 1,0,1.25,2.0,0,1.125,1,1,0.5,1,0.5,0.125,0,0,0,0
I = -1,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0
I >= #I,0,0,0.5,0,0,0,0,0,0,1,0.25,0,0,0,0
I <= #I,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0
I <= #K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I = #I - #K,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.25
I = #I - #K + 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
I = #I - #K + #I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I = (#I + #K) - #I ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Relations
,I = K,I = #K,I = #I & I = #J & I = #I -I,I = 0,I = 1,I = #I + 1,I = #I - 1,I = -1,I >= #I,I <= #I,I <= #K,I = #I - #K,I = #I - #K + 1,I = #I - #K + #I,I = (#I + #K) - #I 
I = K,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
I = #K,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
I = #I & I = #J & I = #I -I,nan,nan,0.0,0.6352874652808573,1.462775734536646,0.8479714062635602,0.972502832614754,1.299025440637131,1.4205352852457718,1.2589819812739917,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I = 0,nan,nan,0.6352874652808573,2.1073424255447017e-08,1.5003387503878398,1.0269942638490335,1.117658983050846,1.3719424542617968,1.4742538884200906,1.3719424542617968,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I = 1,nan,nan,1.462775734536646,1.5003387503878398,0.0,1.135954065940365,0.8407415527149961,1.1376553173892605,1.431231364563147,1.2816903496747383,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I = #I + 1,nan,nan,0.8479714062635602,1.0269942638490335,1.135954065940365,0.0,0.8571413063797858,1.3337668180922633,1.5355340692824593,1.4984821694340533,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I = #I - 1,nan,nan,0.972502832614754,1.117658983050846,0.8407415527149961,0.8571413063797858,0.0,0.7775428553614617,1.142212998385817,0.9599171555892287,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I = -1,nan,nan,1.299025440637131,1.3719424542617968,1.1376553173892605,1.3337668180922633,0.7775428553614617,2.1073424255447017e-08,1.169773711944817,0.6435011087932847,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I >= #I,nan,nan,1.4205352852457718,1.4742538884200906,1.431231364563147,1.5355340692824593,1.142212998385817,1.169773711944817,0.0,1.0610566479633898,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I <= #I,nan,nan,1.2589819812739917,1.3719424542617968,1.2816903496747383,1.4984821694340533,0.9599171555892287,0.6435011087932847,1.0610566479633898,2.1073424255447017e-08,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan
I <= #K,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
I = #I - #K,nan,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan,0.0,1.0610566479633898,1.3508083493994372,nan
I = #I - #K + 1,nan,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan,1.0610566479633898,2.1073424255447017e-08,1.1071487177940904,nan
I = #I - #K + #I,nan,nan,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,nan,1.3508083493994372,1.1071487177940904,0.0,nan
I = (#I + #K) - #I ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
